,Delta,Theta,Alpha,Beta,Gamma,Subject,Session,Condition,BinaryCondition,TernaryCondition
ECoG_ch051,0.04721273757498788,0.006980530927613044,0.003554530979636676,0.0020785593802174064,0.0016350216684980754,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch052,0.060635449331963735,0.013303442028573647,0.007849849010720793,0.003832981131877527,0.0030477585570141052,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch053,0.05492854084430987,0.01338906150482319,0.009429940112689474,0.0038765815552870894,0.0029814126887137515,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch054,0.050189086171800165,0.011861035197325016,0.00800552540341023,0.0034128723684708094,0.0027680717875553334,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch055,0.04768365074668932,0.010153294864330814,0.006862699470031868,0.0029170502130875784,0.002435020529337739,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch056,0.05038842604054113,0.017724881604007165,0.007619543333291571,0.003499251571864138,0.002631604924245957,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch057,0.047992104043220435,0.014883635190477452,0.006080196893958564,0.002971212971501347,0.0024999738805079118,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch058,0.05852374105562626,0.013768545542083807,0.006063072536032129,0.003054295797394953,0.0025698811855277386,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch059,0.06154221633612384,0.012517552278487313,0.006485500229802972,0.0032650183606712357,0.002337120901705947,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch060,0.05639140831943946,0.011479633072818551,0.007233988251571699,0.00318033154615041,0.0022855788649554115,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch061,0.05577720175790811,0.012246061640584914,0.008618664307197453,0.003460189514453003,0.002552792775854838,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch062,0.05083541545321706,0.012626148232329541,0.00988675706450611,0.0038965758679857672,0.0030672889965353586,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch063,0.05800278074402445,0.023591241814741138,0.007406498995582627,0.0029722371905404705,0.002259702820807961,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch064,0.04805242043452685,0.01721070136639807,0.0060949343510576385,0.0027971632191724897,0.0022503358619517856,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch065,0.0557193188200108,0.015582561981181403,0.0056941605463908095,0.0029102677321298665,0.0021585868557057954,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch066,0.04316505301355264,0.01279412934358928,0.005183886847086554,0.0028336543002592802,0.0019408532080523485,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch067,0.042112927480861144,0.010833831808778508,0.004610863123521296,0.0023458918538254003,0.0016325106049064149,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch068,0.05486196847006041,0.013480613996794545,0.005437089465774382,0.0025928247161099687,0.0018744864323473728,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch069,0.05944317891681614,0.014023276570116023,0.00628200566106093,0.0028076341597818447,0.0018897428452525414,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch070,0.06756300986776048,0.016847627239251692,0.00817042809123825,0.0033257718417929057,0.001958177165345654,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch071,0.0721721915895213,0.017986511635062596,0.008259579625463172,0.003458604833276614,0.0019306606374880578,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch072,0.07104432148409544,0.018497758605620307,0.007458099923613159,0.0030054150284233214,0.001610390340446586,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch073,0.04363987921057635,0.01047651315763926,0.004777330503581629,0.002351134346191633,0.0015759269228301433,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch074,0.04263356504941554,0.009662662679436365,0.004705134490544826,0.0021056031987800035,0.0011455814236675846,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch075,0.03530655321656769,0.0077855627346567115,0.003990281198842025,0.001872155235568745,0.0010912151966640856,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch076,0.031835137884664425,0.007307708375727898,0.00382305938510444,0.0018402433745760497,0.0011536630017538647,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch077,0.02902287430731637,0.007583629797257876,0.003511812923588705,0.0018816988604588387,0.001277361210316417,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch078,0.027200788942297466,0.007631434366200557,0.003291913430371013,0.0019913488804114013,0.0014744658859284251,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch079,0.02661956087901463,0.007732060021714577,0.003194344402942261,0.0019215154310487715,0.0014409528547797837,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch080,0.04321217353201568,0.009544824910130544,0.004294278046419599,0.0021261551869825,0.0014659576900627744,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch081,0.04382772396960027,0.009811824627102943,0.004661188519188168,0.0020885871937128308,0.0014009542566876764,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
ECoG_ch082,0.05780449210475416,0.011773045570236512,0.00596199882234786,0.002451943209731221,0.0015410493752515623,TestSub01,TestSession,AwakeEyesOpened,Conscious,Conscious
